,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
6302,6406,Female,Loyal Customer,19.0,Personal Travel,Eco,315,1,4,1,2,2.0,1.0,2,2,3,2,5.0,4,4,2,30,17.0,1
25444,25707,Male,Loyal Customer,45.0,Business travel,Eco,432,3,3,3,3,3.0,3.0,3,3,1,1,3.0,3,4,3,0,0.0,0
17962,18144,Male,Loyal Customer,50.0,Personal Travel,Eco,926,3,4,2,4,1.0,2.0,1,1,3,3,4.0,5,5,1,2,0.0,1
11237,11394,Male,Loyal Customer,42.0,Business travel,Business,458,3,3,3,3,4.0,4.0,5,5,5,5,5.0,3,5,3,1,8.0,0
34795,35385,Male,Loyal Customer,61.0,Business travel,Eco,605,4,1,1,1,4.0,4.0,4,5,4,5,2.0,4,4,4,168,192.0,0
70600,71846,Male,Loyal Customer,58.0,Business travel,Business,1726,4,2,4,2,4.0,2.0,4,4,4,3,4.0,1,4,4,0,0.0,1
39596,40260,Female,disloyal Customer,17.0,Business travel,Eco,402,4,4,4,3,1.0,4.0,2,1,4,2,4.0,4,4,1,49,40.0,1
4353,4445,Male,Loyal Customer,19.0,Personal Travel,Eco,762,3,4,3,3,5.0,3.0,5,5,5,3,5.0,3,4,5,17,12.0,1
48160,49018,Male,disloyal Customer,41.0,Business travel,Eco,373,3,0,3,4,1.0,3.0,1,1,4,1,2.0,1,5,1,0,0.0,1
24454,24717,Male,Loyal Customer,17.0,Personal Travel,Eco,549,2,2,2,2,3.0,2.0,3,3,2,2,3.0,3,3,3,0,0.0,1
6224,6328,Female,Loyal Customer,38.0,Business travel,Business,3737,0,4,0,1,3.0,5.0,4,2,2,2,2.0,5,2,3,0,0.0,0
53381,54627,Male,disloyal Customer,29.0,Business travel,Eco,854,3,3,3,4,1.0,3.0,1,1,1,4,4.0,3,3,1,25,5.0,1
126980,128284,Male,disloyal Customer,41.0,Business travel,Business,651,4,4,4,4,3.0,4.0,3,3,4,2,5.0,5,5,3,8,2.0,0
90582,91835,Female,Loyal Customer,7.0,Personal Travel,Eco Plus,590,4,2,4,3,3.0,4.0,1,3,3,5,4.0,3,3,3,0,0.0,1
64313,65559,Female,disloyal Customer,24.0,Business travel,Business,175,5,0,5,2,3.0,0.0,4,3,3,2,4.0,4,5,3,3,0.0,0
87966,89219,Female,Loyal Customer,17.0,Personal Travel,Eco,1892,1,1,1,2,1.0,1.0,2,1,2,4,2.0,2,3,1,0,0.0,1
86000,87253,Female,Loyal Customer,40.0,Business travel,Business,2430,4,4,4,4,5.0,5.0,5,3,5,5,4.0,5,3,5,330,321.0,0
49865,51027,Female,Loyal Customer,26.0,Personal Travel,Eco,207,4,4,4,5,4.0,4.0,4,4,5,2,3.0,4,3,4,0,2.0,1
99402,100655,Female,Loyal Customer,58.0,Business travel,Business,1858,3,3,3,3,2.0,5.0,5,4,4,4,4.0,5,4,4,2,8.0,0
100285,101538,Male,Loyal Customer,51.0,Personal Travel,Eco,345,4,4,4,4,5.0,4.0,5,5,5,3,4.0,5,5,5,6,0.0,1
118630,119883,Male,Loyal Customer,50.0,Personal Travel,Eco,936,4,5,3,2,5.0,3.0,1,5,5,3,4.0,2,3,5,22,29.0,1
5658,5751,Male,Loyal Customer,32.0,Business travel,Business,2306,4,4,4,4,2.0,2.0,2,2,5,4,4.0,5,5,2,0,0.0,0
34978,35568,Male,Loyal Customer,60.0,Business travel,Eco Plus,1076,5,3,2,2,5.0,5.0,5,5,4,3,2.0,4,3,5,0,0.0,0
64288,65534,Male,Loyal Customer,23.0,Personal Travel,Eco Plus,1616,2,5,2,4,5.0,2.0,3,5,3,5,4.0,5,4,5,24,43.0,1
124867,126171,Female,disloyal Customer,22.0,Business travel,Eco,650,2,0,2,1,4.0,2.0,4,4,3,2,5.0,5,4,4,0,0.0,1
16889,17063,Male,Loyal Customer,50.0,Business travel,Eco Plus,1134,4,1,1,1,4.0,4.0,4,4,4,1,1.0,3,1,4,0,0.0,0
71170,72416,Male,Loyal Customer,30.0,Business travel,Business,1119,4,4,4,4,5.0,4.0,5,5,3,4,4.0,4,5,5,0,18.0,0
96836,98089,Male,Loyal Customer,43.0,Business travel,Business,928,2,2,2,2,2.0,5.0,5,5,5,5,5.0,5,5,5,0,0.0,0
41752,42416,Male,Loyal Customer,49.0,Business travel,Eco Plus,150,2,4,4,4,2.0,2.0,2,2,1,4,4.0,2,4,2,123,108.0,1
26973,27236,Female,Loyal Customer,45.0,Personal Travel,Eco,1024,2,4,2,2,5.0,4.0,4,5,5,2,2.0,5,5,3,0,0.0,1
33563,34151,Male,Loyal Customer,45.0,Business travel,Eco,1189,4,1,4,4,4.0,4.0,4,4,3,2,3.0,1,5,4,0,0.0,0
79287,80537,Female,Loyal Customer,34.0,Business travel,Business,1747,1,1,1,1,3.0,3.0,5,4,4,4,4.0,3,4,5,0,0.0,0
14534,14691,Male,Loyal Customer,27.0,Business travel,Eco,479,0,0,0,4,1.0,0.0,1,1,2,2,2.0,1,3,1,0,0.0,0
22010,22215,Male,Loyal Customer,42.0,Personal Travel,Eco,606,3,3,3,1,5.0,3.0,5,5,5,1,1.0,5,1,5,26,11.0,1
105920,107173,Male,Loyal Customer,29.0,Business travel,Business,1826,1,1,1,1,5.0,5.0,5,5,5,3,4.0,5,5,5,19,0.0,0
12541,12698,Female,Loyal Customer,59.0,Business travel,Eco,721,5,2,2,2,5.0,5.0,5,2,2,2,4.0,5,2,5,208,224.0,0
99671,100924,Female,disloyal Customer,21.0,Business travel,Eco,838,3,3,3,3,5.0,3.0,5,5,3,3,5.0,5,5,5,0,0.0,1
12196,12353,Female,disloyal Customer,20.0,Business travel,Eco,127,5,0,5,4,4.0,5.0,4,4,1,3,3.0,5,4,4,0,0.0,0
42653,43318,Female,Loyal Customer,36.0,Business travel,Eco,463,4,4,4,4,4.0,4.0,4,4,5,1,5.0,1,2,4,0,10.0,0
91456,92709,Female,disloyal Customer,19.0,Business travel,Eco,818,4,4,4,2,5.0,4.0,5,5,4,4,3.0,4,5,5,0,8.0,1
